batch_size,value_size,put_latency,get_latency,put_throughput,get_throughput
500,256,0.070435,0.005349,7098.74,93475.4
500,512,0.080121,0.00552,6240.56,90579.7
500,1024,0.081331,0.005495,6147.72,90991.8
500,2048,0.086131,0.005839,5805.11,85631.1
1000,256,0.147421,0.011333,6783.29,88237.9
1000,512,0.127845,0.011089,7821.97,90179.5
1000,1024,0.132764,0.011311,7532.16,88409.5
1000,2048,0.137952,0.011683,7248.9,85594.5
2000,256,0.229473,0.022128,8715.62,90383.2
2000,512,0.231533,0.022715,8638.08,88047.5
2000,1024,0.242619,0.023126,8243.38,86482.7
2000,2048,0.252436,0.023151,7922.8,86389.4
4000,256,0.418511,0.045269,9557.69,88360.7
4000,512,0.424325,0.046476,9426.74,86065.9
4000,1024,0.474149,0.04649,8436.17,86040
4000,2048,0.483658,0.045151,8270.31,88591.6
